solver,length_m,rho_ohm_m,frequency_hz,z_real_ohm,z_imag_ohm,z_magnitude_ohm,z_phase_deg
mHEM,10,30,3.8681205463305209e+03,4.1931643808823980e+00,3.2056740211572031e-02,4.1932869159758024e+00,4.3801768082059250e-01
mHEM,10,30,3.9810717055349733e+03,4.1918079154308412e+00,3.4526083727955514e-02,4.1919501011255180e+00,4.7190954074299452e-01
mHEM,10,30,4.0973210981354132e+03,4.1904387647398584e+00,3.7088190500048225e-02,4.1906028891925660e+00,5.0709279399674456e-01
mHEM,10,30,4.2169650342858222e+03,4.1890570929330568e+00,3.9745992557127394e-02,4.1892456447166122e+00,5.4360903739497457e-01
mHEM,10,30,4.3401026364474401e+03,4.1876630840937183e+00,4.2502506903532737e-02,4.1878787672250493e+00,5.8150109075720924e-01
mHEM,10,30,4.4668359215096307e+03,4.1862569434456534e+00,4.5360837740552828e-02,4.1865026934360703e+00,6.2081302776116265e-01
mHEM,10,30,4.5972698853087231e+03,4.1848388986071248e+00,4.8324178726855405e-02,4.1851178995991161e+00,6.6159020708386496e-01
mHEM,10,30,4.7315125896148029e+03,4.1834092009031680e+00,5.1395815570014901e-02,4.1837249039652917e+00,7.0387930780545560e-01
mHEM,10,30,4.8696752516586312e+03,4.1819681267366269e+00,5.4579128037074993e-02,4.1823242693816010e+00,7.4772835655321834e-01
mHEM,10,30,5.0118723362727251e+03,4.1805159790607931e+00,5.7877592744408318e-02,4.1809166060715093e+00,7.9318676495642693e-01
mHEM,10,30,5.1582216507230560e+03,4.1790530888964765e+00,6.1294785554403007e-02,4.1795025745357952e+00,8.4030536132648836e-01
mHEM,10,30,5.3088444423098845e+03,4.1775798169484286e+00,6.4834384044807805e-02,4.1780828886379622e+00,8.8913642287580930e-01
mHEM,10,30,5.4638654988185399e+03,4.1760965553102194e+00,6.8500170328362045e-02,4.1766583188727440e+00,9.3973371222898017e-01
mHEM,10,30,5.6234132519034911e+03,4.1746037292360141e+00,7.2296033572352300e-02,4.1752296957917814e+00,9.9215250925539056e-01
mHEM,10,30,5.7876198834912084e+03,4.1731017990215467e+00,7.6225972660147343e-02,4.1737979136399090e+00,1.0464496442031215e+00
mHEM,10,30,5.9566214352901034e+03,4.1715912619821722e+00,8.0294099091866827e-02,4.1723639341978531e+00,1.1026835333983838e+00
mHEM,10,30,6.1305579214982081e+03,4.1700726545328379e+00,8.4504639729566677e-02,4.1709287908352470e+00,1.1609142120138705e+00
mHEM,10,30,6.3095734448019302e+03,4.1685465543659994e+00,8.8861939648965826e-02,4.1694935927801620e+00,1.2212033674113729e+00
mHEM,10,30,6.4938163157621129e+03,4.1670135827517116e+00,9.3370465052607682e-02,4.1680595296350313e+00,1.2836143723363431e+00
mHEM,10,30,6.6834391756861487e+03,4.1654744069622138e+00,9.8034806326020060e-02,4.1666278761497990e+00,1.3482123189775357e+00
mHEM,10,30,6.8785991230880745e+03,4.1639297428002022e+00,1.0285968089551330e-01,4.1651999972306353e+00,1.4150640490899240e+00
